feature,importance_mean,importance_std
gldm_DependenceVariance_t1,0.06176470588235296,0.016724237361992147
shape_Flatness_flair,0.05490196078431373,0.03257499554085518
shape_Maximum2DDiameterRow_flair,0.03627450980392158,0.01987562248305223
glcm_InverseVariance_flair,0.03627450980392157,0.016724237361992127
gldm_DependenceNonUniformityNormalized_flair,0.03627450980392157,0.018883686553194327
ngtdm_Strength_t2,0.03333333333333335,0.019705638472786047
firstorder_Skewness_flair,0.03039215686274511,0.013116753098293755
firstorder_Kurtosis_flair,0.029411764705882366,0.022782254977690687
firstorder_Maximum_t1,0.025490196078431386,0.01652186230034579
gldm_DependenceVariance_flair,0.017647058823529432,0.01224509411450666
